timestamp,power
1613343600,84
1613344500,62
1613345400,76
1613346300,60
1613347200,76
1613348100,62
1613349000,89
1613349900,97
1613350800,89
1613351700,73
1613352600,64
1613353500,76
1613354400,63
1613355300,90
1613356200,92
1613357100,104
1613358000,66
1613358900,71
1613359800,70
1613360700,62
1613361600,82
1613362500,99
1613363400,113
1613364300,80
1613365200,68
1613366100,53
1613367000,79
1613367900,73
1613368800,124
1613369700,279
1613370600,526
1613371500,174
1613372400,142
1613373300,158
1613374200,138
1613375100,147
1613376000,149
1613376900,156
1613377800,133
1613378700,121
1613379600,84
1613380500,189
1613381400,78
1613382300,82
1613383200,101
1613384100,78
1613385000,74
1613385900,59
1613386800,74
1613387700,61
1613388600,99
1613389500,132
1613390400,608
1613391300,454
1613392200,213
1613393100,170
1613394000,166
1613394900,151
1613395800,216
1613396700,169
1613397600,177
1613398500,161
1613399400,160
1613400300,165
1613401200,270
1613402100,225
1613403000,146
1613403900,161
1613404800,128
1613405700,177
1613406600,238
1613407500,265
1613408400,248
1613409300,269
1613410200,331
1613411100,359
1613412000,363
1613412900,358
1613413800,308
1613414700,261
1613415600,305
1613416500,241
1613417400,208
1613418300,180
1613419200,204
1613420100,188
1613421000,230
1613421900,215
1613422800,216
1613423700,215
1613424600,230
1613425500,194
1613426400,208
1613427300,129
1613428200,94
1613429100,80
1613430000,60
1613430900,72
1613431800,62
1613432700,74
1613433600,86
1613434500,103
1613435400,79
1613436300,75
1613437200,61
1613438100,73
1613439000,63
1613439900,88
1613440800,96
1613441700,87
1613442600,75
1613443500,61
1613444400,75
1613445300,62
1613446200,85
1613447100,90
1613448000,106
1613448900,81
1613449800,77
1613450700,69
1613451600,60
1613452500,65
1613453400,94
1613454300,110
1613455200,88
1613456100,81
1613457000,98
1613457900,138
1613458800,614
1613459700,183
1613460600,171
1613461500,152
1613462400,127
1613463300,108
1613464200,140
1613465100,147
1613466000,169
1613466900,643
1613467800,809
1613468700,415
1613469600,153
1613470500,155
1613471400,119
1613472300,277
1613473200,329
1613474100,375
1613475000,641
1613475900,615
1613476800,461
1613477700,153
1613478600,97
1613479500,93
1613480400,753
1613481300,146
1613482200,109
1613483100,92
1613484000,77
1613484900,87
1613485800,80
1613486700,106
1613487600,95
1613488500,262
1613489400,92
1613490300,97
1613491200,84
1613492100,135
1613493000,189
1613493900,210
1613494800,208
1613495700,215
1613496600,231
1613497500,350
1613498400,328
1613499300,377
1613500200,257
1613501100,293
1613502000,239
1613502900,216
1613503800,199
1613504700,210
1613505600,226
1613506500,235
1613507400,225
1613508300,209
1613509200,202
1613510100,208
1613511000,217
1613511900,232
1613512800,232
1613513700,94
1613514600,75
1613515500,61
1613516400,74
1613517300,61
1613518200,90
1613519100,90
1613520000,101
1613520900,60
1613521800,76
1613522700,59
1613523600,76
1613524500,69
1613525400,105
1613526300,89
1613527200,78
1613528100,64
1613529000,72
1613529900,68
1613530800,79
1613531700,98
1613532600,96
1613533500,80
1613534400,73
1613535300,77
1613536200,76
1613537100,73
1613538000,80
1613538900,88
1613539800,96
1613540700,78
1613541600,73
1613542500,94
1613543400,125
1613544300,649
1613545200,177
1613546100,172
1613547000,147
1613547900,117
1613548800,151
1613549700,127
1613550600,142
1613551500,164
1613552400,155
1613553300,67
1613554200,191
1613555100,76
1613556000,75
1613556900,70
1613557800,102
1613558700,87
1613559600,80
1613560500,60
1613561400,74
1613562300,55
1613563200,65
1613564100,88
1613565000,100
1613565900,72
1613566800,68
1613567700,73
1613568600,66
1613569500,74
1613570400,92
1613571300,101
1613572200,78
1613573100,98
1613574000,83
1613574900,253
1613575800,66
1613576700,110
1613577600,108
1613578500,102
1613579400,146
1613580300,162
1613581200,176
1613582100,171
1613583000,237
1613583900,241
1613584800,229
1613585700,197
1613586600,213
1613587500,221
1613588400,302
1613589300,238
1613590200,270
1613591100,250
1613592000,238
1613592900,233
1613593800,245
1613594700,244
1613595600,192
1613596500,214
1613597400,201
1613598300,188
1613599200,174
1613600100,179
1613601000,84
1613601900,53
1613602800,75
1613603700,59
1613604600,38
1613605500,44
1613606400,57
1613607300,44
1613608200,65
1613609100,85
1613610000,105
1613610900,82
1613611800,74
1613612700,65
1613613600,68
1613614500,73
1613615400,68
1613616300,104
1613617200,91
1613618100,84
1613619000,62
1613619900,77
1613620800,67
1613621700,85
1613622600,90
1613623500,97
1613624400,91
1613625300,54
1613626200,77
1613627100,71
1613628000,84
1613628900,69
1613629800,105
1613630700,808
1613631600,173
1613632500,146
1613633400,146
1613634300,118
1613635200,132
1613636100,162
1613637000,161
1613637900,229
1613638800,91
1613639700,175
1613640600,121
1613641500,187
1613642400,242
1613643300,268
1613644200,261
1613645100,238
1613646000,628
1613646900,300
1613647800,237
1613648700,233
1613649600,189
1613650500,81
1613651400,70
1613652300,56
1613653200,71
1613654100,67
1613655000,86
1613655900,92
1613656800,103
1613657700,58
1613658600,61
1613659500,70
1613660400,60
1613661300,289
1613662200,93
1613663100,105
1613664000,72
1613664900,139
1613665800,160
1613666700,200
1613667600,193
1613668500,211
1613669400,193
1613670300,318
1613671200,273
1613672100,205
1613673000,250
1613673900,283
1613674800,222
1613675700,208
1613676600,210
1613677500,195
1613678400,254
1613679300,228
1613680200,267
1613681100,261
1613682000,217
1613682900,199
1613683800,185
1613684700,166
1613685600,148
1613686500,134
1613687400,63
1613688300,45
1613689200,24
1613690100,44
1613691000,41
1613691900,38
1613692800,68
1613693700,79
1613694600,59
1613695500,54
1613696400,72
1613697300,60
1613698200,75
1613699100,83
1613700000,102
1613700900,77
1613701800,75
1613702700,61
1613703600,70
1613704500,66
1613705400,76
1613706300,100
1613707200,92
1613708100,84
1613709000,70
1613709900,79
1613710800,54
1613711700,68
1613712600,93
1613713500,104
1613714400,83
1613715300,90
1613716200,139
1613717100,655
1613718000,153
1613718900,155
1613719800,187
1613720700,165
1613721600,147
1613722500,107
1613723400,158
1613724300,167
1613725200,356
1613726100,391
1613727000,310
1613727900,149
1613728800,69
1613729700,78
1613730600,58
1613731500,72
1613732400,83
1613733300,100
1613734200,73
1613735100,72
1613736000,56
1613736900,69
1613737800,77
1613738700,98
1613739600,94
1613740500,76
1613741400,74
1613742300,81
1613743200,81
1613744100,218
1613745000,85
1613745900,95
1613746800,129
1613747700,85
1613748600,101
1613749500,86
1613750400,101
1613751300,85
1613752200,145
1613753100,185
1613754000,224
1613754900,199
1613755800,213
1613756700,214
1613757600,336
1613758500,487
1613759400,373
1613760300,339
1613761200,292
1613762100,218
1613763000,212
1613763900,220
1613764800,226
1613765700,248
1613766600,229
1613767500,217
1613768400,171
1613769300,189
1613770200,191
1613771100,178
1613772000,78
1613772900,68
1613773800,25
1613774700,37
1613775600,27
1613776500,33
1613777400,33
1613778300,58
1613779200,62
1613780100,41
1613781000,59
1613781900,42
1613782800,59
1613783700,52
1613784600,101
1613785500,88
1613786400,101
1613787300,60
1613788200,75
1613789100,65
1613790000,68
1613790900,79
1613791800,87
1613792700,106
1613793600,82
1613794500,86
1613795400,71
1613796300,81
1613797200,54
1613798100,74
1613799000,102
1613799900,106
1613800800,83
1613801700,91
1613802600,109
1613803500,131
1613804400,587
1613805300,173
1613806200,188
1613807100,121
1613808000,123
1613808900,138
1613809800,156
1613810700,123
1613811600,142
1613812500,157
1613813400,177
1613814300,172
1613815200,311
1613816100,84
1613817000,63
1613817900,119
1613818800,174
1613819700,226
1613820600,187
1613821500,259
1613822400,147
